collectedAt,content.data.employeeCount,content.entityName,recordType,schemaVersion,source.name,source.url
2026-08-12T11:58:35.184254+00:00,3,Marft,STARTUP,1.0,Y Combinator,http://marft.com
2026-08-12T11:58:35.184415+00:00,750,Amplitude,STARTUP,1.0,Y Combinator,https://amplitude.com
2026-08-12T11:58:35.184748+00:00,19,AgileMD,STARTUP,1.0,Y Combinator,https://agilemd.com
2026-08-12T11:58:35.184826+00:00,,Sift,STARTUP,1.0,Y Combinator,https://sift.com/
2026-08-12T11:58:35.184852+00:00,50,LeadGenius,STARTUP,1.0,Y Combinator,http://leadgenius.com
2026-08-12T11:58:35.185336+00:00,11,Insight Data Science,STARTUP,1.0,Y Combinator,http://insightdatascience.com
2026-08-12T11:58:35.186245+00:00,2,Directed Edge,STARTUP,1.0,Y Combinator,http://directededge.com
2026-08-12T11:58:35.186569+00:00,2,JustSpotted,STARTUP,1.0,Y Combinator,http://justspotted.com
2026-08-12T11:58:35.186804+00:00,0,Hello Chair,STARTUP,1.0,Y Combinator,http://hellochair.com
2026-08-12T11:58:35.187201+00:00,11,Canopy Labs,STARTUP,1.0,Y Combinator,http://canopylabs.com
2026-08-12T11:58:35.187330+00:00,11,Human Dx,STARTUP,1.0,Y Combinator,http://humandx.org
2026-08-12T11:58:35.187554+00:00,50,FileStack,STARTUP,1.0,Y Combinator,https://www.filestack.com/
2026-08-12T11:58:35.187583+00:00,50,Upwave,STARTUP,1.0,Y Combinator,http://www.upwave.com
2026-08-12T11:58:35.187857+00:00,320,Plivo,STARTUP,1.0,Y Combinator,https://plivo.com
2026-08-12T11:58:35.187877+00:00,92,Thread,STARTUP,1.0,Y Combinator,http://thread.com
2026-08-12T11:58:35.188087+00:00,120,RADAR,STARTUP,1.0,Y Combinator,https://goradar.com
2026-08-12T11:58:35.188252+00:00,25,Semantics3,STARTUP,1.0,Y Combinator,http://www.semantics3.com
2026-08-12T11:58:35.188487+00:00,50,Casetext,STARTUP,1.0,Y Combinator,http://casetext.com
2026-08-12T11:58:35.188815+00:00,3000,Cruise,STARTUP,1.0,Y Combinator,http://getcruise.com
2026-08-12T11:58:35.188967+00:00,34,Theorem,STARTUP,1.0,Y Combinator,http://theoremlp.com
2026-08-12T11:58:35.188983+00:00,11,Liftigniter,STARTUP,1.0,Y Combinator,http://liftigniter.com/
2026-08-12T11:58:35.189187+00:00,350,Unbabel,STARTUP,1.0,Y Combinator,http://unbabel.com
2026-08-12T11:58:35.189200+00:00,30,MixerBox,STARTUP,1.0,Y Combinator,http://mixerbox.com
2026-08-12T11:58:35.189208+00:00,,OpenCurriculum,STARTUP,1.0,Y Combinator,https://opencurriculum.org
2026-08-12T11:58:35.189221+00:00,20,Dyspatch,STARTUP,1.0,Y Combinator,https://www.dyspatch.io
2026-08-12T11:58:35.189232+00:00,3,Whirlscape,STARTUP,1.0,Y Combinator,http://getdango.com
2026-08-12T11:58:35.189250+00:00,2,Framed Data,STARTUP,1.0,Y Combinator,http://www.framed.io
2026-08-12T11:58:35.189349+00:00,800,Checkr,STARTUP,1.0,Y Combinator,http://www.checkr.com
2026-08-12T11:58:35.189514+00:00,11,MTailor,STARTUP,1.0,Y Combinator,http://mtailor.com
2026-08-12T11:58:35.189583+00:00,100,PicnicAI,STARTUP,1.0,Y Combinator,https://picnic.ai
2026-08-12T11:58:35.189653+00:00,100,UserGems,STARTUP,1.0,Y Combinator,https://www.usergems.com
2026-08-12T11:58:35.189685+00:00,2,SalesSift,STARTUP,1.0,Y Combinator,https://salessift.com
2026-08-12T11:58:35.189750+00:00,8,Tule,STARTUP,1.0,Y Combinator,http://tuletechnologies.com
2026-08-12T11:58:35.189764+00:00,11,Weave,STARTUP,1.0,Y Combinator,http://weave.in
